x y theta dt v w 
 0 0 0 37.3473 0 -0.000349066
 0 0 0 0.0442517 0 0
 0 0 0 0.0139944 0 -0.000349066
 0 0 0 0.0278605 0 0
 0 0 0 0.0168033 0 -0.00226893
 0 0 0 0.0276937 0 0.00139626
 0 0 0 0.0142168 0 0.00523599
 0 0 0 0.0164566 0 0.00226893
 0 0 0 0.0148523 0 0
 0 0 0 0.0136537 0 -0.0020944
 0 0 0 0.0281401 0 -0.00523599
 0 0 0 0.0152547 0 -0.00401426
 0 0 0 0.0130302 0 -0.00261799
 0 0 0 0.0136731 0 -0.000698132
 0 0 0 0.0282373 0 0.00191986
 0 0 0 0.0302731 0 0.000698132
 0 0 0 0.0319751 0 -0.00139626
 0 0 0 0.000240078 0 -0.000349066
 0 0 0 0.01414 0 -0.000349066
 0 0 0 0.0285288 0 0.000523599
 0 0 0 0.014715 0 -0.00122173
 0 0 0 0.00015677 0 -0.000698132
 0 0 0 0.0275813 0 -0.0020944
 0 0 0 0.0283656 0 -0.00122173
